dataset,kir,method_label,layer,status,directly_comparable,source,n_seeds,oos_f1_mean,f1_all_mean,f1_k_mean,known_recall_mean,false_accept_rate_mean,false_reject_rate_mean,accuracy_mean,auroc_mean,aupr_oos_mean
banking77,0.75,Frozen K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.5366071713978288,0.7821185401081376,0.786351494741074,0.8641379310344828,0.48,0.1358620689655172,0.7202597402597403,0.817510775862069,0.5494501046486522
banking77,0.75,S2C Trainable K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.6865343253584566,0.8413111725848881,0.8439797389163782,0.8241379310344827,0.1960526315789473,0.1758620689655172,0.7968831168831169,0.8890411751361162,0.6985107098502167
clinc150,0.25,Frozen K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9447183904938934,0.7801346791980823,0.775803528900824,0.7435087719298246,0.0472807017543859,0.2564912280701754,0.9096491228070176,0.934487650046168,0.9767689785502252
clinc150,0.25,MOGB-MiniLM,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9238361040438376,0.5224035964713533,0.5118395831141827,0.3710526315789473,0.0065789473684209,0.6289473684210527,0.8688771929824561,0.9060657894736842,0.963469654341278
clinc150,0.25,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9413139384002536,0.7016229766010627,0.6953153197116103,0.6017543859649124,0.0223684210526315,0.3982456140350877,0.901719298245614,0.9274617189904586,0.9735223875851312
clinc150,0.25,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9263775447547196,0.5666949810733997,0.557229650450207,0.4189473684210526,0.011798245614035,0.5810526315789474,0.8740350877192983,0.9017829332102184,0.9630424548868696
clinc150,0.25,Random K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9423997495237098,0.7878036270153732,0.7837353080019959,0.7884210526315789,0.0617105263157894,0.211578947368421,0.9067017543859648,0.94371837488458,0.9825638454444808
clinc150,0.25,Frozen K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9420722511346672,0.7843899282129962,0.7802403933992681,0.7794736842105263,0.0603508771929824,0.2205263157894736,0.9060350877192984,0.9434849953831947,0.9825040382245194
clinc150,0.25,S2C Trainable K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9516427437131568,0.7968993956538231,0.7928272022838406,0.7363157894736843,0.0323684210526315,0.2636842105263158,0.920842105263158,0.9588536088027084,0.9876229578269168
clinc150,0.5,Frozen K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.892005798496586,0.8009431390043901,0.7997289702111607,0.7513777777777777,0.0644057971014492,0.2486222222222222,0.856561403508772,0.924975458937198,0.9370482791886308
clinc150,0.5,MOGB-MiniLM,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8131951016346013,0.4495380038989019,0.4446892425957592,0.3157333333333333,0.0090434782608695,0.6842666666666666,0.7237894736842105,0.8764096876006441,0.8832486853189302
clinc150,0.5,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8555543863002324,0.645981713026754,0.6431874107164409,0.5334222222222222,0.0249855072463767,0.4665777777777777,0.7985263157894738,0.9052768824476652,0.9196825244395654
clinc150,0.5,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8332324302971947,0.5640931010016157,0.5605045766110079,0.4223999999999999,0.0168695652173912,0.5776,0.7591578947368421,0.8898238711755233,0.9015743601911356
clinc150,0.5,Random K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8906911053121688,0.8075070935100765,0.8063979733527151,0.7947555555555555,0.089623188405797,0.2052444444444444,0.8555438596491228,0.9302566698872786,0.9465447968241728
clinc150,0.5,Frozen K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8894333056826393,0.8026933913946113,0.8015368592041044,0.7875555555555556,0.0881739130434782,0.2124444444444443,0.8531578947368421,0.9289202705314008,0.9453136430594408
clinc150,0.5,S2C Trainable K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9043941395821136,0.8181661694793956,0.8170164632113595,0.7444444444444445,0.036927536231884,0.2555555555555555,0.8734035087719298,0.953267375201288,0.9649131913639692
clinc150,0.75,Frozen K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8150384507030115,0.8143458841089413,0.814339700478637,0.7580357142857143,0.0732478632478632,0.2419642857142857,0.8151929824561404,0.9182304385429386,0.8623213163626969
clinc150,0.75,MOGB-MiniLM,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.6593154230507091,0.4179709109786164,0.415816049263687,0.2919642857142857,0.0082905982905982,0.7080357142857142,0.5781754385964912,0.8643049450549449,0.7520503201772899
clinc150,0.75,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.7197434059711283,0.5960139307329898,0.5949092032755063,0.4808928571428572,0.0188888888888888,0.5191071428571428,0.6826666666666668,0.8967573768823769,0.8257099119541585
clinc150,0.75,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.7004044722488025,0.5692900146575266,0.5681193498576044,0.4284523809523809,0.0188034188034187,0.571547619047619,0.6508771929824562,0.8802616758241758,0.7930407784196932
clinc150,0.75,Random K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8220513451445486,0.823453472957717,0.8234659919560489,0.8004761904761905,0.1022222222222221,0.1995238095238095,0.8222105263157895,0.9227625152625152,0.8812826362736683
clinc150,0.75,Frozen K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8174656812211403,0.8174095805265577,0.8174090796274989,0.7907142857142857,0.101025641025641,0.2092857142857142,0.8170877192982455,0.9199905118030118,0.8747476986909115
clinc150,0.75,S2C Trainable K=1,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.828493223497581,0.8291245798894671,0.8291302170001089,0.7511904761904762,0.0401709401709401,0.2488095238095237,0.8305964912280702,0.9500434472934473,0.9244287014099976
stackoverflow,0.25,Frozen K=2,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8666146611474034,0.767990693403829,0.748265899855114,0.8521333333333333,0.194711111111111,0.1478666666666666,0.8107666666666666,0.9027892444444444,0.9442456955268907
stackoverflow,0.25,MOGB-MiniLM,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.8944000569448456,0.540703865522772,0.4699646272383573,0.3261333333333333,0.0093777777777777,0.6738666666666667,0.8243333333333334,0.8672337777777779,0.92560379566686
stackoverflow,0.25,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,complete_fair_component,True,results/analysis/cross_protocol_tradeoff_v1/summary_mean_std.csv,5.0,0.9259960799998362,0.7345093038010513,0.6962119485612942,0.5910666666666666,0.020311111111111,0.4089333333333333,0.8820333333333334,0.9164517333333332,0.9603337045725686
