seed,metric,trainable_minus_adb,delta_pp
13,oos_f1,,
42,oos_f1,0.012522562835797002,1.2522562835797002
87,oos_f1,-0.0007105313873452257,-0.07105313873452257
100,oos_f1,0.010275058654725,1.0275058654725
123,oos_f1,,
13,f1_all,,
42,f1_all,0.014623036965500047,1.4623036965500047
87,f1_all,0.0064074053717536605,0.640740537175366
100,f1_all,0.009614829450920181,0.9614829450920181
123,f1_all,,
13,known_recall,,
42,known_recall,0.04499999999999993,4.499999999999993
87,known_recall,0.03166666666666662,3.166666666666662
100,known_recall,0.013666666666666716,1.3666666666666716
123,known_recall,,
13,false_accept_rate,,
42,false_accept_rate,0.011333333333333334,1.1333333333333333
87,false_accept_rate,0.02566666666666663,2.566666666666663
100,false_accept_rate,-0.00866666666666667,-0.8666666666666669
123,false_accept_rate,,
13,false_reject_rate,,
42,false_reject_rate,-0.044999999999999984,-4.499999999999998
87,false_reject_rate,-0.031666666666666676,-3.166666666666668
100,false_reject_rate,-0.013666666666666744,-1.3666666666666742
123,false_reject_rate,,
13,accuracy,,
42,accuracy,0.014000000000000012,1.4000000000000012
87,accuracy,0.0003333333333332966,0.03333333333332966
100,accuracy,0.009500000000000064,0.9500000000000064
123,accuracy,,
