dataset,kir,delta_oos_f1,delta_false_accept,delta_known_recall
banking77,0.25,0.6054707263812964,-1.5086206896551797,-1.9999999999999907
banking77,0.5,3.0335552667536403,-5.794871794871787,-2.4605263157894797
banking77,0.75,5.650244289041273,-11.921052631578949,-3.2758620689655182
clinc150,0.25,0.2646139359226196,-1.3070175438596496,-3.5964912280701755
clinc150,0.5,0.25724928139466696,-2.3768115942029002,-3.6177777777777864
clinc150,0.75,-0.24272305181287646,-2.7777777777777803,-3.2678571428571446
stackoverflow,0.25,-2.8206091854828252,4.515555555555551,-0.40000000000001146
stackoverflow,0.5,-13.020144872799355,17.460000000000008,-0.25999999999999357
stackoverflow,0.75,-21.970603753577773,28.84000000000001,0.39999999999998925
