method,seed,oos_f1,f1_all,known_recall,false_accept_rate,false_reject_rate
fixed_k2,13,0.7428389016363708,0.7642707402710652,0.8229863699798666,0.2801803531432664,0.17701363002013332
fixed_k2,42,0.7703585129370917,0.7682695004427704,0.8138033125598159,0.23825305644523664,0.18619668744018408
fixed_k2,87,0.7599404916485875,0.7755420999215955,0.8143035102123124,0.25235217160500567,0.18569648978768757
fixed_k2,100,0.7725965618877618,0.7836782402031158,0.8061472287039437,0.22524067790666066,0.1938527712960562
fixed_k2,123,0.7295558204332458,0.7476435019423184,0.8149804011945573,0.29428316468546345,0.18501959880544272
mogb_minilm,13,0.7330323912536276,0.46378738560717025,0.31435201109414657,0.011398047977061057,0.6856479889058534
mogb_minilm,42,0.7316834545488589,0.4464401780918787,0.2991237568698246,0.007877209693248989,0.7008762431301754
mogb_minilm,87,0.7366230481207314,0.47183171958699227,0.31730766091473894,0.008061166972369213,0.6826923390852611
mogb_minilm,100,0.7337096349302219,0.46502942443372014,0.31179238325699304,0.0096119370589109,0.6882076167430069
mogb_minilm,123,0.7344533629131578,0.4658128087657458,0.3180011066939379,0.00828486971089349,0.6819988933060621
mogb_partition_ours_boundary,13,0.7780068004933052,0.6442393768573618,0.5281721785306177,0.028430957185974368,0.4718278214693823
mogb_partition_ours_boundary,42,0.7737289418587726,0.618164773286201,0.4995367817692379,0.02256104767379389,0.5004632182307621
mogb_partition_ours_boundary,87,0.7820267008467484,0.6531487803718332,0.5326562078888153,0.02644458281430581,0.46734379211118476
mogb_partition_ours_boundary,100,0.7785367833141409,0.649373229704759,0.5308477075511255,0.03018484242658992,0.46915229244887446
mogb_partition_ours_boundary,123,0.7747100219209468,0.6312265420309486,0.5193284384332478,0.025074490944661066,0.48067156156675206
ours_partition_mogb_boundary,13,0.7561934341593448,0.6232258251153712,0.5054884097216221,0.08242797562082653,0.49451159027837793
ours_partition_mogb_boundary,42,0.7586328646379711,0.6214710209722363,0.50301696050471,0.07458760179814122,0.49698303949529
ours_partition_mogb_boundary,87,0.7630875148974814,0.6304270840463204,0.502825641690433,0.06779165661583658,0.497174358309567
ours_partition_mogb_boundary,100,0.7636460966386001,0.6337064720598254,0.4967232889055333,0.06188307683015588,0.5032767110944667
ours_partition_mogb_boundary,123,0.7533106428089739,0.6062294519831644,0.4908152469295845,0.08071599228126225,0.5091847530704156
random_partition,13,0.7627639486577059,0.7801670766376154,0.8446284517167759,0.26824784811073243,0.15537154828322397
random_partition,42,0.7921503127547921,0.7761769805633336,0.8416835119407715,0.22945123427190284,0.1583164880592285
random_partition,87,0.7948028357691064,0.7936543041299845,0.8390590668881655,0.22078100123727307,0.16094093311183447
random_partition,100,0.7996074656060373,0.8013114475844717,0.8426648525848466,0.21227807523738504,0.15733514741515345
random_partition,123,0.7702309944928748,0.7739810391467086,0.8445607793429936,0.2620539102543495,0.15543922065700644
single_centroid,13,0.7641411218956254,0.7774516200190864,0.8350907921143855,0.2612276331844574,0.16490920788561436
single_centroid,42,0.7960031535185971,0.77654563490481,0.8345151904345793,0.21861098682927238,0.16548480956542055
single_centroid,87,0.7981550535531875,0.7927366154099391,0.8320163987555094,0.2106511179857664,0.16798360124449052
single_centroid,100,0.8004359743593593,0.7968324825222308,0.8360195019797259,0.20693091368545743,0.16398049802027412
single_centroid,123,0.7734602483506181,0.7713766738808523,0.837237353441074,0.25328097474729416,0.16276264655892603
trainable_k1,13,0.8527012236460116,0.8255465535252431,0.802252644702433,0.09680762793741825,0.19774735529756698
trainable_k1,42,0.8594157584848181,0.8306361706177113,0.8002224942944847,0.08535028590817799,0.19977750570551536
trainable_k1,87,0.8639384143846853,0.8385575778836665,0.8008339983099512,0.07365699493932741,0.19916600169004883
trainable_k1,100,0.8584585372035735,0.8436854897567464,0.8039252449450573,0.08606242163069008,0.19607475505494254
trainable_k1,123,0.8531442699889374,0.8293626223575675,0.8036751617229536,0.09485610148891661,0.19632483827704636
