dataset,kir,baseline,baseline_label,delta_oos_f1,delta_f1_all,delta_f1_k,delta_known_recall,delta_false_accept_rate,delta_false_reject_rate,delta_accuracy,delta_auroc,delta_aupr_oos
banking77,0.25,single_centroid,Frozen K=1,6.481458714285204,9.22471383136908,9.36909567963664,-2.0526315789473615,-11.508620689655178,2.05263157894737,8.480519480519478,3.1409482758620655,1.4470934604976615
banking77,0.5,single_centroid,Frozen K=1,11.136046753964358,7.159613589605007,7.054970611595546,-2.8026315789473677,-19.1025641025641,2.8026315789473677,9.779220779220799,4.880980094466924,5.872639353055953
banking77,0.75,single_centroid,Frozen K=1,14.992715396062783,5.919263247675044,5.762824417530421,-4.0000000000000036,-28.394736842105267,4.000000000000001,7.662337662337659,7.153039927404725,14.90606052015645
clinc150,0.25,single_centroid,Frozen K=1,0.9570492578489631,1.2509467440826816,1.2586808884572531,-4.315789473684206,-2.79824561403509,4.31578947368422,1.4807017543859602,1.5368613419513677,0.5118919602397409
clinc150,0.5,single_centroid,Frozen K=1,1.4960833899474224,1.547277808478431,1.547960400725501,-4.31111111111111,-5.124637681159419,4.311111111111118,2.0245614035087733,2.434710466988721,1.959954830452848
clinc150,0.75,single_centroid,Frozen K=1,1.102754227644076,1.1714999362909428,1.1721137372610047,-3.9523809523809517,-6.0854700854700905,3.952380952380949,1.3508771929824692,3.0052935490435417,4.968100271908604
stackoverflow,0.25,single_centroid,Frozen K=1,5.997615649869359,6.625673043494606,6.751284522219625,-1.3200000000000212,-11.106666666666671,1.3200000000000016,8.389999999999986,3.3039437037036934,2.2555770105428197
stackoverflow,0.5,single_centroid,Frozen K=1,11.121070917264596,6.5711312594810884,6.116137293702706,-3.2533333333333303,-20.36666666666667,3.2533333333333303,10.236666666666661,3.5850822222222023,5.33120945363258
stackoverflow,0.75,single_centroid,Frozen K=1,10.69848305862826,6.042050272246069,5.731621419820554,-3.506666666666669,-24.026666666666667,3.5066666666666704,7.21666666666666,4.7337185185185255,11.173274988491311
banking77,0.25,fixed_k2,Frozen K=2,5.875987987903908,7.410409057541479,7.49116806120661,-0.052631578947370805,-10.0,0.052631578947370805,7.766233766233766,3.4949863883847576,1.516301022346822
banking77,0.5,fixed_k2,Frozen K=2,8.102491487210717,5.509624355484766,5.441391009913021,-0.34210526315788803,-13.307692307692312,0.34210526315789913,7.376623376623392,4.1655111336032284,5.051440477810765
banking77,0.75,fixed_k2,Frozen K=2,9.34247110702151,3.8681975386999023,3.7738135116598626,-0.7241379310344853,-16.47368421052632,0.7241379310344909,5.188311688311686,5.682112068965539,11.49786546179773
clinc150,0.25,fixed_k2,Frozen K=2,0.6924353219263435,1.6764716455740736,1.702367338301658,-0.7192982456140307,-1.4912280701754406,0.7192982456140418,1.1192982456140421,2.4365958756540462,1.0853979276691628
clinc150,0.5,fixed_k2,Frozen K=2,1.2388341085527554,1.7223030475005507,1.7287493000198717,-0.6933333333333236,-2.7478260869565196,0.6933333333333291,1.684210526315788,2.829191626409,2.7864912175338485
clinc150,0.75,fixed_k2,Frozen K=2,1.3454772794569525,1.477869578052582,1.4790516521471897,-0.6845238095238071,-3.30769230769231,0.6845238095238015,1.5403508771929864,3.181300875050863,6.210738504730062
stackoverflow,0.25,fixed_k2,Frozen K=2,8.818224835352185,10.838199178446462,11.2421940470653,-0.9200000000000097,-15.62222222222222,0.9200000000000014,11.969999999999992,5.0167674074073965,3.3052129908419214
stackoverflow,0.5,fixed_k2,Frozen K=2,24.141215790063953,13.791947185798016,12.757020325371393,-2.9933333333333367,-37.826666666666675,2.9933333333333314,19.886666666666663,9.752508888888878,12.967077588469921
