method,method_label,layer,oos_f1_mean,f1_all_mean,known_recall_mean,false_accept_rate_mean,false_reject_rate_mean,accuracy_mean,oos_f1_std,f1_all_std,known_recall_std,false_accept_rate_std,false_reject_rate_std,accuracy_std
ADB,ADB (same protocol cell),same_protocol_external_compatibility,0.8747369425124395,0.8567214699615485,0.8066666666666666,0.07233333333333333,0.19333333333333336,0.864388888888889,0.014784170873148214,0.01577284757886797,0.01589898669028243,0.017039170558842742,0.015898986690282425,0.016317452597120037
fixed_k2,S2C Frozen K=2,current_protocol_v2_fair_gate,0.6352945072329976,0.7275883031957765,0.8688666666666667,0.4716666666666667,0.13113333333333332,0.6692666666666667,0.04301876563041502,0.023359233304818608,0.012801041624284559,0.05844940832321008,0.012801041624284585,0.027457694732078305
mogb_minilm,MOGB-MiniLM,current_protocol_v2_fair_gate,0.729199427573284,0.43298039378929865,0.2709333333333333,0.00793333333333328,0.7290666666666666,0.6305666666666667,0.006249432392941407,0.03399553971951928,0.023698804470549447,0.0025755258362775845,0.023698804470549423,0.012082241329966738
mogb_partition_ours_boundary,MOGB partition + S2C boundary,current_protocol_v2_fair_gate,0.7924706249591658,0.63344181949998,0.5038666666666667,0.01859999999999998,0.4961333333333333,0.7407333333333334,0.014867493644347045,0.05501643416641743,0.049077376548557386,0.0070134790859379655,0.04907737654855736,0.023838169672467106
ours_partition_mogb_boundary,S2C partition + MOGB boundary,current_protocol_v2_fair_gate,0.7335218198140271,0.6358695194997168,0.5449333333333334,0.1569333333333333,0.4550666666666666,0.6835333333333333,0.013012175796140623,0.01582317933949017,0.011736457917295356,0.029528141003305836,0.011736457917295356,0.013599121703665666
random_partition,S2C Random K=2,current_protocol_v2_fair_gate,0.7587996754762378,0.7980409512231381,0.8764,0.30979999999999996,0.12359999999999996,0.7609999999999999,0.0549134144241642,0.022351101003422826,0.013462705688101626,0.08558024174876919,0.013462705688101675,0.04144122343753859
single_centroid,S2C Frozen K=1,current_protocol_v2_fair_gate,0.7654959559609912,0.7997964624589458,0.8714666666666666,0.29706666666666665,0.1285333333333333,0.7657666666666667,0.05344876974549661,0.022009634922279985,0.011824174859630228,0.0840477377579089,0.01182417485963019,0.04072581081656532
trainable_k1,S2C Trainable K=1,current_protocol_v2_fair_gate,0.8767066651336372,0.8655077750537566,0.8389333333333333,0.09339999999999998,0.16106666666666664,0.8681333333333333,0.016570048659295993,0.012976894988666438,0.0035699361961307454,0.03261168842949139,0.0035699361961307446,0.015964109050547654
