dataset,seed,split,intent,is_known,count,accepted_count,rejected_count,near_boundary_count,median_score
stackoverflow,13,val,ajax,False,100,1,99,6,0.9052080033713596
stackoverflow,13,val,apache,True,100,73,27,14,0.6613714210232188
stackoverflow,13,val,bash,True,100,88,12,6,0.5956698863322397
stackoverflow,13,val,cocoa,True,100,85,15,8,0.5615280913828926
stackoverflow,13,val,drupal,False,100,6,94,15,0.8563604073883705
stackoverflow,13,val,excel,True,100,87,13,12,0.6410788568788308
stackoverflow,13,val,haskell,False,100,1,99,1,0.9579059990454164
stackoverflow,13,val,hibernate,True,100,88,12,5,0.5036642856918567
stackoverflow,13,val,linq,False,100,0,100,0,0.9643220242014204
stackoverflow,13,val,magento,False,100,12,88,28,0.809306297569502
stackoverflow,13,val,matlab,True,100,86,14,5,0.5130972779980658
stackoverflow,13,val,oracle,False,100,1,99,0,0.9241694484495531
stackoverflow,13,val,osx,True,100,76,24,17,0.6549810398923752
stackoverflow,13,val,qt,False,100,5,95,8,0.8911023133082577
stackoverflow,13,val,scala,False,100,2,98,0,0.970951917239518
stackoverflow,13,val,sharepoint,True,100,66,34,24,0.7021891649454614
stackoverflow,13,val,spring,True,98,83,15,4,0.5372917804395503
stackoverflow,13,val,svn,True,100,91,9,2,0.5600019026666808
stackoverflow,13,val,visual-studio,False,100,0,100,4,0.9228761540116455
stackoverflow,13,val,wordpress,False,100,10,90,17,0.8328015025319129
stackoverflow,13,test,ajax,False,300,8,292,9,0.9280875424978664
stackoverflow,13,test,apache,True,299,234,65,46,0.6627982728523121
stackoverflow,13,test,bash,True,300,238,62,29,0.6302970573145177
stackoverflow,13,test,cocoa,True,299,230,69,19,0.5726288496547044
stackoverflow,13,test,drupal,False,300,13,287,27,0.8713965268411987
stackoverflow,13,test,excel,True,299,264,35,24,0.6249802415104966
stackoverflow,13,test,haskell,False,298,8,290,11,0.9457955292996765
stackoverflow,13,test,hibernate,True,300,270,30,12,0.4974192214678127
stackoverflow,13,test,linq,False,297,0,297,2,0.9703094622918469
stackoverflow,13,test,magento,False,300,22,278,50,0.8363787180681355
stackoverflow,13,test,matlab,True,300,253,47,11,0.5351370214291385
stackoverflow,13,test,oracle,False,300,2,298,9,0.9218530700740782
stackoverflow,13,test,osx,True,300,239,61,31,0.6528580394627966
stackoverflow,13,test,qt,False,300,14,286,22,0.8900034485982458
stackoverflow,13,test,scala,False,300,3,297,6,0.9768522309050485
stackoverflow,13,test,sharepoint,True,300,214,86,64,0.6881902433366172
stackoverflow,13,test,spring,True,299,259,40,14,0.5362625354923916
stackoverflow,13,test,svn,True,300,254,46,14,0.5856433223063272
stackoverflow,13,test,visual-studio,False,300,5,295,4,0.9299308114228388
stackoverflow,13,test,wordpress,False,299,36,263,66,0.8358117453304796
