method,dataset,kir,scope,training_regime,supervision,oos_f1,f1_all,known_macro_f1,known_recall,accuracy,n_seeds,status,source,comparable_oos
Fixed K=2,stackoverflow,0.5,same_protocol_fair,Known-only Trainable/ Frozen MiniLM,Known-only,0.6352945072329975,0.7275883031957765,,0.8688666666666667,,5,complete_fair_component,results/analysis/experimental_mechanism_pack_v3/method_summary.csv,True
MOGB-MiniLM,stackoverflow,0.5,same_protocol_fair,Known-only Trainable/ Frozen MiniLM,Known-only,0.729199427573284,0.4329803937892986,,0.2709333333333333,,5,complete_fair_component,results/analysis/experimental_mechanism_pack_v3/method_summary.csv,True
MOGB partition + s2c boundary,stackoverflow,0.5,same_protocol_fair,Known-only Trainable/ Frozen MiniLM,Known-only,0.7924706249591658,0.63344181949998,,0.5038666666666667,,5,complete_fair_component,results/analysis/experimental_mechanism_pack_v3/method_summary.csv,True
Single centroid,stackoverflow,0.5,same_protocol_fair,Known-only Trainable/ Frozen MiniLM,Known-only,0.7654959559609912,0.7997964624589458,,0.8714666666666668,,5,complete_fair_component,results/analysis/experimental_mechanism_pack_v3/method_summary.csv,True
Trainable K=1,stackoverflow,0.5,same_protocol_fair,Known-only Trainable/ Frozen MiniLM,Known-only,0.8767066651336372,0.8655077750537565,,0.8389333333333333,,5,complete_fair_component,results/analysis/experimental_mechanism_pack_v3/method_summary.csv,True
ADB,stackoverflow,0.5,compatibility_single_cell,end-to-end BERT/TextOIR,Known-only,0.87364018250007,0.8565977087597924,,0.8077777777777778,0.8636666666666667,3,complete_external_three_seed,results/analysis/external_gpu_runtime_comparison_v1/stackoverflow_kir50_external_summary.csv,False
BRAK,stackoverflow,0.5,official_or_other_contract,frozen-embedding,Known-only,0.81341,0.800971,0.799727,0.833333,0.789,1,complete,artifacts/.../brak_v1/summaries/BRAK_PILOT_SUMMARY.tsv,False
MOGB-official (strict single-cell),stackoverflow,0.5,official_or_other_contract,end-to-end-BERT,Known-only plus official protocol,,0.683502,0.671884,0.515333,0.751667,1,not_reproduced_strict,results/mogb_exact_reproduction/final_metrics.json,False
DA-ADB,stackoverflow,0.5,compatibility_single_cell,end-to-end-BERT,Known-only,0.908978,0.892256,0.890584,,0.9007,1,complete_compatibility_artifact,artifacts/s2c/external/da_adb_compat_single_cell_v3/stackoverflow/DA-ADB/kir50/seed0/results/results.csv,False
DCLOOS reduced-budget,oos,0.75,official_or_other_contract,end-to-end-BERT,Known-only plus synthetic and external OOS,0.870527,0.902629,0.902916,0.921429,0.886842,1,complete_recovered_intermediate_prediction,artifacts/s2c/external/dcloos_official_oos_kir75_seed888_reduced_v2/recovery_metrics.json,False
