protocol_version,dataset,kir,method,n_seeds,oos_f1_mean,oos_f1_std,f1_all_mean,f1_all_std,f1_k_mean,f1_k_std,accuracy_mean,accuracy_std,known_recall_mean,known_recall_std,false_acceptance_mean,false_acceptance_std,mean_k_y,accepted_split_seeds,source_artifact
protocol_v2_textoir_v1,stackoverflow,0.50,racal_trainable_k1,3,0.867090982,0.007862040,0.856539550,0.003031795,0.855484407,0.002717706,0.858222222,0.006342586,0.839222222,0.003177856,0.111444444,0.016477444,1.0,0,../artifacts/s2c/runs/protocol_v2_textoir_v1/racal_v1/runs/trainable_k1
protocol_v2_textoir_v1,stackoverflow,0.50,joint_adaptive_repair6,3,0.866083178,0.011122516,0.856277809,0.005030960,0.855297272,0.004708241,0.857666667,0.008945825,0.838777778,0.004476275,0.112888889,0.022843266,1.0,0,../artifacts/s2c/runs/protocol_v2_textoir_v1/joint_adaptive_multicenter_v1/repair6
