dataset,n_seeds,oos_f1_delta,f1_all_delta,f1_k_delta,accuracy_delta,known_recall_delta,false_accept_rate_delta,false_reject_rate_delta,auroc_delta,aupr_oos_delta
banking77,3,0.05184893050398898,0.03133732886235304,-0.00162139452483064,0.04599567099567096,-0.0195175438596491,-0.10000000000000002,0.019517543859649128,0.030941717273954117,0.0394818895107113
clinc150,3,0.011163041169960067,0.015182555106060444,-0.000544443689663221,0.01479532163742688,-0.013333333333333345,-0.02859903381642512,0.013333333333333327,0.02616468062265161,0.025726914078647172
stackoverflow,3,0.09419488767360044,0.06702635956207818,0.016170123572574375,0.08566666666666667,0.0021111111111111005,-0.154,-0.00211111111111111,0.035602814814814754,0.04092689466190861
