protocol,dataset,dataset_label,kir,seed,method,method_label,oos_f1,known_recall,false_accept_rate,auroc,aupr_oos,known_count,oos_count,oos_sources,metrics_path,predictions_path
h1_v19,clinc150,CLINC150,0.5,13,frozen_k1,Frozen K=1,0.8695907290597037,0.732,0.088,0.8995440683760684,0.9051685429093342,2250,3250,oos_test:1000;test:2250,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed13/frozen_k1/metrics.json,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed13/frozen_k1/predictions.jsonl
h1_v19,clinc150,CLINC150,0.5,13,trainable_k1,Trainable K=1,0.8862948551664505,0.727111111111111,0.05384615384615385,0.9336146324786325,0.9462438088420746,2250,3250,oos_test:1000;test:2250,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed13/trainable_k1/metrics.json,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed13/trainable_k1/predictions.jsonl
h1_v19,clinc150,CLINC150,0.5,42,frozen_k1,Frozen K=1,0.8816362053959965,0.731111111111111,0.06492307692307692,0.9029470085470086,0.9027013186660016,2250,3250,oos_test:1000;test:2250,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed42/frozen_k1/metrics.json,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed42/frozen_k1/predictions.jsonl
h1_v19,clinc150,CLINC150,0.5,42,trainable_k1,Trainable K=1,0.8956248212753789,0.728,0.036307692307692305,0.9420987350427351,0.9517879270200577,2250,3250,oos_test:1000;test:2250,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed42/trainable_k1/metrics.json,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed42/trainable_k1/predictions.jsonl
h1_v19,clinc150,CLINC150,0.5,87,frozen_k1,Frozen K=1,0.8895027624309392,0.7471111111111111,0.05876923076923077,0.9109910427350428,0.9060497723851522,2250,3250,oos_test:1000;test:2250,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed87/frozen_k1/metrics.json,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed87/frozen_k1/predictions.jsonl
h1_v19,clinc150,CLINC150,0.5,87,trainable_k1,Trainable K=1,0.9030033050725679,0.748,0.03323076923076923,0.9463395555555556,0.951321760909854,2250,3250,oos_test:1000;test:2250,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed87/trainable_k1/metrics.json,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/clinc150/kir50_seed87/trainable_k1/predictions.jsonl
h1_v19,stackoverflow,StackOverflow,0.5,13,frozen_k1,Frozen K=1,0.7662360644133782,0.835781041388518,0.2768871075484302,0.882464194075735,0.8409754767124513,2996,2994,heldout_oos_test:2994,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed13/frozen_k1/metrics.json,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed13/frozen_k1/predictions.jsonl
h1_v19,stackoverflow,StackOverflow,0.5,13,trainable_k1,Trainable K=1,0.8877534727766246,0.8367823765020027,0.07147628590514363,0.9319238164803126,0.9031680036622918,2996,2994,heldout_oos_test:2994,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed13/trainable_k1/metrics.json,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed13/trainable_k1/predictions.jsonl
h1_v19,stackoverflow,StackOverflow,0.5,42,frozen_k1,Frozen K=1,0.8435800230756552,0.8292682926829268,0.14614614614614616,0.9133610723988272,0.8881453969656059,2993,2997,heldout_oos_test:2997,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed42/frozen_k1/metrics.json,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed42/frozen_k1/predictions.jsonl
h1_v19,stackoverflow,StackOverflow,0.5,42,trainable_k1,Trainable K=1,0.9149367878882473,0.8399599064483796,0.022022022022022022,0.9550686670633213,0.9407479559814084,2993,2997,heldout_oos_test:2997,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed42/trainable_k1/metrics.json,/home/bo/bo01/llmpy311/artifacts/s2c/runs/historical_protocol_v2/minilm_k1/stackoverflow/kir50_seed42/trainable_k1/predictions.jsonl
